artist_id,artist_name
0bsV0sUjnCuCTYOnNHQl3E,Julia Holter
3ZMur3elMyOs248ah86NRk,Mach-Hommy
6qgnBH6iDM91ipVXv28OMu,KAYTRANADA
1oPRcJUkloHaRLYx0olBLJ,Magdalena Bay
7tYKF4w9nC0nq9CsPZTHyP,SZA
1mVk9jJNL0m9WIs0a1BQdS,Jaeychino
7b5FD1wsy3KBIrMjTqTNBi,SlimeGetEm
3DbwFQlvLxRSi2uX8mf81A,Sexyy Red
6lEhBhAv6HOopjXssi09cq,TisaKorean
6vWDO969PvNqNYHIOW5v0m,Beyoncé
5W10uJRsbt9bROJDKoI1Wn,Moses Sumney
4XquDVA8pkg5Lx91No1JxB,Brittany Howard
7BMR0fwtEvzGtK4rNGdoiQ,Nia Archives
2kGBy2WHvF0VdZyqiVCkDT,Father John Misty
4mcHKwboFDmpDBQ4fiOrf3,Two Shell
7rZNSLWMjTbwdLNskFbzFf,Sugababes
7B2edU3Q7btJoNsoHCNohM,Laura Marling
59RNNqeEfkq3X5pfOQxZ3C,Hovvdy
6ygDlIilHZqielxxkvmIVH,J.P.
6VJZYivuYJGCrPuOAnI7Qo,ANOHNI
4fxp616ALtFWnXfwxnjLzW,Antony and the Johnsons
1zkKkDDra0jlsiJYz57P3P,Mustafa
46pWGuE3dSwY3bMMXGBvVS,Rema
0Ve1sk7tcGsb7ZVsp4o8GG,The Softies
4GfEnw0dFSSzB9M65k0dA1,Verraco
1WaFQSHVGZQJTbf0BdxdNo,Tommy Richman
4bbAeMRdMbfCLVSlpryAVV,evilgiane
51ymXnZGhf6Z4OcNXPviZC,Dummy
7LjXznzJeKuvjRbNcBWd6Z,wolfacejoeyy
1zLsxkqMVKSKE8A4WhzZtV,Nídia & Valentina
3CE6MgsLpKMDfYFtexgc8U,LAZER DIM 700
6tpaMMCs8X6o8j9H5OmWmT,Yaya Bey
1MRB7UrVK6DvvefA7pAqS8,Exaktly
40ZNYROS4zLfyyBSs2PGe2,Zach Bryan
2H5elA2mJKrHmqkN9GSfkz,Gillian Welch
01XgbvLicKQELx7NqHgi5G,David Rawlings
2fU2w19foGHouVAiJR7DJ6,The Hard Quartet
6FlOCziOXI157pvUREAh3E,Los Campesinos!
3HzHfusJQBmpNKkTzqqC2N,Baby Osamaa
3BOfygYBFwHTBFyCbsQVMv,Adeline Hotel
3Me35AWHCGqW4sZ7bWWJt1,Xavi
0YsYhESxyHC1kuMm9Mbm3C,YT
2LakckgvXEtJlKOYP6BO11,Lancey Foux
0ErzCpIMyLcjPiwT4elrtZ,NLE Choppa
3y2cIKLjiOlp1Np37WiUdH,Shaboozey
3AaY5O1qS0tcNPHwwMwplt,Jeff Parker
